Carrer del Mestre Joaquim Rosal;Mestre Joaquim Rosal;;-0.5;Male
Carrer de Laureà Miró;Laureà Miró;;-0.5;Male
Carrer Sant Mateu;Sant Mateu;;-0.5;Male
Avinguda de Manuel Azaña;Manuel Azaña;;-0.5;Male
Avinguda Països Catalans;Països Catalans;;-0.5;Male
Avinguda Santa Coloma;Santa Coloma;;0.77;Female
Camí Vell de Sant Ramon;Vell Sant Ramon;;-0.5;Male
Camí del Puig de Montbaig;Puig Montbaig;;-0.5;Male
Avinguda Francesc Macià;Francesc Macià;;-0.5;Male
Carrer Jacint Verdaguer;Jacint Verdaguer;;-0.5;Male
Carrer Perera;Perera;;1.0;Female
Carrer Antoni Sàbat Amat;Antoni Sàbat Amat;;-0.5;Male
Camí del Bosquet del Cementiri;Bosquet del Cementiri;;-0.77;Male
Avinguda Lluís Companys - (Via Cornisa);Lluís Companys - (Via Cornisa);;-0.5;Male
Passatge Jaume Martinez Vendrell;Jaume Martinez Vendrell;;-0.5;Male
Passeig de Josep Baiguet Massip;Josep Baiguet Massip;;-0.5;Male
Camí de la Creu;Creu;;0.5;Female
Carrer de Frederic Martí;Frederic Martí;;-0.5;Male
Plaça Josep Anselm Clavé;Josep Anselm Clavé;;-0.5;Male
Carrer Bosc d'en Joaquim Folguera;Bosc en Joaquim Folguera;;-0.5;Male
Plaça de Josep Anselm Clavé;Josep Anselm Clavé;;-0.5;Male
Carrer de Lluis Artó i Sancho;Lluis Artó i Sancho;;-1.0;Male
Camí de Gaudí;Gaudí;;-0.5;Male
Avinguda de Ferran Alsina;Ferran Alsina;;-0.5;Male
Carrer dels Textils Bertrand Serra;Textils Bertrand Serra;;-0.5;Male
Carrer dels Telers de Blanc;Telers Blanc;;-0.5;Male
Carrer dels Estiratges Balmes;Estiratges Balmes;;-0.5;Male
Camí Lateral de la Ronda Litoral;Lateral Ronda Litoral;;0.98;Female
Carrer de Miquel Ros del Llor;Miquel Ros Llor;;-1.0;Male
Carrer Lluís Companys;Lluís Companys;;-0.5;Male
Carrer de Pere Calders;Pere Calders;;-0.5;Male
Carrer Margarida Xirgu;Margarida Xirgu;;1.0;Female
Carrer de Jaume Codina;Jaume Codina;;-0.5;Male
Carrer Víctor Català;Víctor Català;;-1.0;Male
Carrer Aurora Bertrana;Aurora Bertrana;;1.0;Female
Carrer de Pere Quart;Pere Quart;;-1.0;Male
Ronda de Sant Ramon;Sant Ramon;;-0.5;Male
Carrer Frederic Mompou;Frederic Mompou;;-0.5;Male
Carrer de Manuel de Pedrolo;Manuel de Pedrolo;;-0.5;Male
Carrer Manuel de Falla;Manuel Falla;;-0.5;Male
Carrer de Mahatma Ghandi;Mahatma Ghandi;;-0.5;Male
Carrer del Mestre Lluís Millet;Mestre Lluís Millet;;-0.5;Male
Carrer Mestre Lluís Millet;Mestre Lluís Millet;;-0.5;Male
Carrer Pau Casals;Pau Casals;;-0.5;Male
Carrer d'Eduard Toldrà;Eduard Toldrà;;-1.0;Male
Carrer d'Ernesto Che Guevara;Ernesto Che Guevara;;-0.5;Male
Carrer de Joaquim Rubió i Ors;Joaquim Rubió i Ors;;-1.0;Male
Carrer Joaquim Rubió i Ors;Joaquim Rubió i Ors;;-1.0;Male
Carrer de Josep Romeu i Torelló;Josep Romeu i Torelló;;-0.5;Male
Plaça de Joan Sanromà i Font;Joan Sanromà i Font;;0.65;Female
Carrer de Jenaro Sancho;Jenaro Sancho;;-0.5;Male
Carrer de Pablo Picasso;Pablo Picasso;;-1.0;Male
Avinguda de Can Carreres;Can Carreres;;-0.97;Male
Carrer d'Antoni Rubió i Lluch;Antoni Rubió i Lluch;;-0.5;Male
Passeig President Josep Tarradellas;President Josep Tarradellas;;-1.0;Male
Carrer de Victòria;Victòria;;1.0;Female
Carrer Antoni Gaudí;Antoni Gaudí;;-0.5;Male
Passatge de Santa Teresa;Santa Teresa;;1.0;Female
Carrer de Johan Pfaff;Johan Pfaff;;-0.5;Male
Carrer Eusebi Güell;Eusebi Güell;;-1.0;Male
Carrer Joan Pagés;Joan Pagés;;0.65;Female
Plaça de Joan N. García-Nieto;Joan N. García-Nieto;;0.65;Female
Carrer de l'Urgell;Urgell;;1.0;Female
Carrer Providència;Providència;;1.0;Female
Carrer Llibertat;Llibertat;;1.0;Female
Carrer de Joaquim Auger;Joaquim Auger;;-1.0;Male
Carrer de Jordi Rubió i Balaguer;Jordi Rubió i Balaguer;;-0.5;Male
Carrer de Salvador Aulèstia;Salvador Aulèstia;;-0.5;Male
Carrer Ramon Estruch;Ramon Estruch;;-0.5;Male
