Soledad Solórzano;Soledad Solórzano;;1.0;Female
Rafaela López Aguado;Rafaela López Aguado;;1.0;Female
María Pistolas;María Pistolas;;1.0;Female
La Valentina;La Valentina;;0.91;Female
Adelita;Adelita;;1.0;Female
Tierra y Libertad;Tierra y Libertad;;0.98;Female
Hermanas Moreno;Hermanas Moreno;;-0.91;Male
Ana García;Ana García;;1.0;Female
Palmira;Palmira;;1.0;Female
Coliseo Romano;Coliseo Romano;;-0.5;Male
La Muralla China;La Muralla China;;0.67;Female
Santa Cecilia;Santa Cecilia;;1.0;Female
Carlos Benz;Carlos Benz;;-0.99;Male
Carlos Bossio;Carlos Bossio;;-0.99;Male
Luis Galván;Luis Galván;;-0.5;Male
Carlos Goodyear;Carlos Goodyear;;-0.99;Male
Juan A. Globerti;Juan  Globerti;;-0.99;Male
Avenida de los Leones;Leones;;-0.5;Male
Ignacio Danti;Ignacio Danti;;-1.0;Male
Cerraada Pino;Cerraada Pino;;0.57;Female
Canal Nacional;Canal Nacional;;-0.5;Male
Granada;Granada;;1.0;Female
Roberto Fulton;Roberto Fulton;;-0.99;Male
Roberto Haro;Roberto Haro;;-0.99;Male
Carlos Federico;Carlos Federico;;-1.0;Male
Estrella;Estrella;;1.0;Female
Samuel Crompton;Samuel Crompton;;-0.5;Male
Luis Fracisco Breguet;Luis Fracisco Breguet;;-0.5;Male
Bandera;Bandera;;1.0;Female
Manuela Medina;Manuela Medina;;1.0;Female
Ricardo Flores Magón;Ricardo Flores Magón;;-0.99;Male
Hnos. Wright;Hnos. Wright;;-0.5;Male
Los Pirules;Los Pirules;;-0.99;Male
Dr. Díaz Arellano;Dr. Díaz Arellano;;-0.5;Male
Tres Calaveras;Tres Calaveras;;-0.96;Male
Hermanos Germerin;Hermanos Germerin;;-1.0;Male
Juan Edwards;Juan Edwards;;-0.99;Male
Carlos T. Wilson;Carlos T. Wilson;;-0.99;Male
Porfirio;Porfirio;;-1.0;Male
Pelo de Angel;Pelo de Angel;;-0.64;Male
Progreso;Progreso;;-1.0;Male
Pinos;Pinos;;-0.5;Male
Próspero García;Próspero García;;-0.5;Male
Purísima;Purísima;;1.0;Female
Camino de Los Viveros;Los Viveros;;-0.99;Male
Faustina Benítez;Faustina Benítez;;0.99;Female
R. Pérez de Moreno;R. Pérez de Moreno;;-0.5;Male
Natalia Serdán;Natalia Serdán;;1.0;Female
Agustín Ramírez;Agustín Ramírez;;-1.0;Male
Laura Méndez de Cuenca;Laura Méndez de Cuenca;;1.0;Female
María del Mar;María del Mar;;1.0;Female
Francisca García Batle;Francisca García Batle;;1.0;Female
Dolores Guerrero;Dolores Guerrero;;0.99;Female
Rosario Castellanos;Rosario Castellanos;;0.9;Female
Elvira Vargas;Elvira Vargas;;0.5;Female
Candelaria Pérez;Candelaria Pérez;;1.0;Female
Arles;Arles;;-0.96;Male
Paseo Antioquía;Antioquía;;1.0;Female
Paseo Sicilia;Sicilia;;1.0;Female
Puente San Francisco;Puente San Francisco;;-0.95;Male
Puente los Gallos;Puente los Gallos;;-0.99;Male
Puente Santa Ana;Puente Santa Ana;;0.94;Female
Puente Correo Mayor;Puente Correo Mayor;;-0.5;Male
Anís;Anís;;-0.5;Male
Puente Juan Carbonero;Puente Juan Carbonero;;-0.5;Male
Puente Dolores;Puente Dolores;;0.5;Female
Vanilla;Vanilla;;0.98;Female
Puente Dimas;Puente Dimas;;-0.99;Male
Villa Alta;Alta;;0.99;Female
Avenida Canal de Tezontle;Canal Tezontle;;-0.5;Male
Blvr. Ernesto P. Uruchurtu;Blvr. Ernesto P. Uruchurtu;;-0.5;Male
Plaza Tepozán;Plaza Tepozán;;-1.0;Male
Plaza Recreo;Plaza Recreo;;-1.0;Male
Plaza Cantaritos;Plaza Cantaritos;;-0.5;Male
Plaza Canarios;Plaza Canarios;;-0.5;Male
Plaza Baratillo;Plaza Baratillo;;-1.0;Male
Plaza Volador;Plaza Volador;;-0.5;Male
Plaza Mayor;Plaza Mayor;;-0.5;Male
Plaza del Árbol;Plaza del Árbol;;-0.77;Male
Plaza Buenavista;Plaza Buenavista;;-0.5;Male
Plaza Florida;Plaza Florida;;0.98;Female
Plaza Vizcainas;Plaza Vizcainas;;-1.0;Male
Plaza Guardiola;Plaza Guardiola;;-0.5;Male
Plaza Cuajomulco;Plaza Cuajomulco;;-1.0;Male
Palacio;Palacio;;-0.5;Male
Guadalupe Victoria;Guadalupe Victoria;;1.0;Female
Canal Tecorrales;Canal Tecorrales;;-1.0;Male
Cerrada Victoria;Victoria;;1.0;Female
Hombres Ilustres;Hombres Ilustres;;-1.0;Male
Francisco Pascual García;Francisco Pascual García;;-0.5;Male
Joaquín Baranda;Joaquín Baranda;;-0.5;Male
Juan de la Fuente;Juan de la Fuente;;-0.5;Male
Mariano Escobedo;Mariano Escobedo;;-0.5;Male
Ignacio Aldama;Ignacio Aldama;;-1.0;Male
Avenida Hidalgo;Hidalgo;;-0.5;Male
Ignacio Allende;Ignacio Allende;;-1.0;Male
Santa María del Monte;Santa María del Monte;;0.8;Female
Santo Tomás;Santo Tomás;;-0.5;Male
San Juan;San Juan;;-0.5;Male
Calle Javier Rojo Gomez;Javier Rojo Gomez;;-1.0;Male
Calle Francisco Sarabia;Francisco Sarabia;;-0.5;Male
Av Jalisco;Jalisco;;-0.5;Male
Gustavo Díaz Ordaz;Gustavo Díaz Ordaz;;-0.5;Male
Juan de la Barrera;Juan de la Barrera;;-0.5;Male
Fernando Montes de Oca;Fernando Montes de Oca;;-0.5;Male
Juan Escutia;Juan Escutia;;-0.5;Male
Vicente Suárez;Vicente Suárez;;-1.0;Male
General Raúl Herrera;General Raúl Herrera;;-0.5;Male
Martiniano Guerrero;Martiniano Guerrero;;-0.5;Male
Batalla de Casa Blanca;Batalla  Blanca;;1.0;Female
Rea;Rea;;0.84;Female
Titan;Titan;;-0.5;Male
Triton;Triton;;-1.0;Male
Primavera;Primavera;;0.98;Female
Santa Teresa;Santa Teresa;;1.0;Female
Gral. Nicolás Bravo;Nicolás Bravo;;-0.5;Male
Sixto Verduzco;Sixto Verduzco;;-0.5;Male
Genaro Estrada;Genaro Estrada;;-0.5;Male
Plutarco Elías Calles;Plutarco Elías s;;-0.88;Male
Cadena Azul;Cadena Azul;;0.99;Female
Vicente Suarez;Vicente Suarez;;-1.0;Male
Belisario Dominguez;Belisario Dominguez;;-0.5;Male
Juan Aldama;Juan Aldama;;-0.5;Male
Valentina Tereshkova;Valentina Tereshkova;;1.0;Female
Madame Cuirie;Madame Cuirie;;0.94;Female
Av. Jalisco;Jalisco;;-0.5;Male
Belisario Domínguez;Belisario Domínguez;;-0.5;Male
Luis Echeverría;Luis Echeverría;;-0.5;Male
Gabriela Mistral;Gabriela Mistral;;1.0;Female
Avenida La Purísima;La Purísima;;0.65;Female
Deimos;Deimos;;-0.5;Male
Golda Mier;Golda Mier;;1.0;Female
Gregorio Torres Quintero;Gregorio Torres Quintero;;-0.99;Male
San Felipe de Jesús;San Felipe de Jesús;;-0.5;Male
Esteban Coronado;Esteban Coronado;;-0.5;Male
