calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Pasaje Inca Garcilaso;Inca Garcilaso;Inca;Garcilaso;2;Male ;-;-;
Pasaje Micaela Bastidas;Micaela Bastidas;Micaela;Bastidas;2;Female;-;-;https://es.wikipedia.org/wiki/Micaela_Bastidas
Pasaje Andres A.Caceres;Pasaje Andres Caceres;Pasaje;Andres;-2;Male;-;-;
Pasaje Clorinda Matto de Turner;Clorinda Matto Turner;Clorinda;Matto;2;Female;-;-;https://es.wikipedia.org/wiki/Clorinda_Matto_de_Turner
Pasaje A. Quinones;Pasaje  Quinones;Pasaje;;0;Male;-;-;
Jiron Antonio Raimondi;Jiron Antonio Raimondi;Jiron;Antonio;-2;Male;-;-;
Jiron Abraham Valdelomar;Jiron Abraham Valdelomar;Jiron;Abraham;-2;Male;-;-;
Jiron Ciro Alegria;Jiron Ciro Alegria;Jiron;Ciro;-2;Male;-;-;
Cuesta del Almirante;Cuesta del Almirante;Cuesta;del;0;Male ;-;-;
Prolongacion Calle Bolivar;Prolongacion  Bolivar;Prolongacion;;-2;Male;-;-;
Calle Plaza Santiago;Plaza Santiago;Plaza;Santiago;-2;Male;-;-;
Pasaje Jose Gabriel Condorcanqui;Jose Gabriel Condorcanqui;Jos̩;Gabriel;-2;Male;-;-;
Pasaje Leoncio Prado;Leoncio Prado;Leoncio;Prado;-2;Male;-;-;
Pasaje Alfonso Ugarte;Alfonso Ugarte;Alfonso;Ugarte;-2;Male;-;-;
Pasaje San Francisco;San Francisco;San;Francisco;-2;Male;-;-;
Calle Cesar Vargas Calderon;Cesar Vargas Calderon;Cesar;Vargas;-2;Male;-;-;
Tupac Amaru;Tupac Amaru;Tupac;Amaru;-2;Male;-;-;
Micaela Bastidas;Micaela Bastidas;Micaela;Bastidas;2;Female;-;-;https://es.wikipedia.org/wiki/Micaela_Bastidas
Pasaje Santa Rosa;Santa Rosa;Santa;Rosa;2;Female;-;-;https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Jiron Felix Lonconi;Jiron Felix Lonconi;Jiron;Felix;-2;Male;-;-;
Jiron Jose Olaya;Jiron Jose Olaya;Jiron;Jose;-2;Male;-;-;
