calle,calleClean,name,surname,fiabilidad,gender,wikipedia
Victor Cue,Victor Cue,Victor,Cue,-2,Male,
Tomás de la Torre,Tomás de la Torre,Tomás,de,-2,Male,
Pedro A. Ríos,Pedro A. s,Pedro,A.,-2,Male,
Carlos Pellegrini,Carlos Pellegrini,Carlos,Pellegrini,-2,Male,
Roque Saenz Peña,Roque Saenz Peña,Roque,Saenz,-2,Male,
Julio Argentino Roca,Julio Argentino Roca,Julio,Argentino,-2,Male,
San Martín,San Martín,San,Martín,-2,Male,
Héctor Leithner,Héctor Leithner,Héctor,Leithner,-2,Male,
Manuel Curto,Manuel Curto,Manuel,Curto,-2,Male,
Bartolome Mitre,Bartolome Mitre,Bartolome,Mitre,-2,Male,
Manuel Belgrano,Manuel Belgrano,Manuel,Belgrano,-2,Male,
Alfredo Schilla Oeste,Alfredo Schilla Oeste,Alfredo,Schilla,-2,Male,
José de San Martín,José de San Martín,José,de,-2,Male,
General Estanislao López,General Estanislao López,General,Estanislao,-2,Male,
Juan Bautista Alberdi,Juan Bautista Alberdi,Juan,Bautista,-2,Male,
Carlos Silvestre Begnis,Carlos Silvestre Begnis,Carlos,Silvestre,-2,Male,
Juan Hugo Caesar,Juan Hugo Caesar,Juan,Hugo,-2,Male,
Waldino Suárez,Waldino Suárez,Waldino,Suárez,-2,Male,
Avenida Hipólito Yrigoyen,Hipólito Yrigoyen,Hipólito,Yrigoyen,-2,Male,
Avenida Jorge Obeid,Jorge Obeid,Jorge,Obeid,-2,Male,
Walter Garrone,Walter Garrone,Walter,Garrone,-2,Male,
Luciano Molinas,Luciano Molinas,Luciano,Molinas,-2,Male,
Manuel Menchaca,Manuel Menchaca,Manuel,Menchaca,-2,Male,
Raúl Alfonsín,Raúl Alfonsín,Raúl,Alfonsín,-2,Male,
Hipólito Vieytes,Hipólito Vieytes,Hipólito,Vieytes,-2,Male,
Adolfo Alsina,Adolfo Alsina,Adolfo,Alsina,-2,Male,
Bernardo de Monteagudo,Bernardo de Monteagudo,Bernardo,de,-2,Male,
General José Rondeau,General José Rondeau,General,José,-2,Male,
Hipólito Bouchard,Hipólito Bouchard,Hipólito,Bouchard,-2,Male,
Miguel Galindo,Miguel Galindo,Miguel,Galindo,-2,Male,
Bernardino Rivadavia,Bernardino Rivadavia,Bernardino,Rivadavia,-2,Male,
Fray Mamerto Esquiú,Fray Mamerto Esquiú,Fray,Mamerto,-2,Male,
Juan Elorza,Juan Elorza,Juan,Elorza,-2,Male,
Florencio Varela,Florencio Varela,Florencio,Varela,-2,Male,
Hipólito Yrigoyen,Hipólito Yrigoyen,Hipólito,Yrigoyen,-2,Male,
Gustavo Cochet,Gustavo Cochet,Gustavo,Cochet,-2,Male,
Manuel Estrada,Manuel Estrada,Manuel,Estrada,-2,Male,
Justo José de Urquiza,Justo José de Urquiza,Justo,José,-2,Male,
Bulevar Bartolomé Mitre,Bulevar Bartolomé Mitre,Bulevar,Bartolomé,-2,Male,
Pedro Lino Funes,Pedro Lino Funes,Pedro,Lino,-2,Male,
Servando Bayo,Servando Bayo,Servando,Bayo,-2,Male,
Plácido Grela,Plácido Grela,Plácido,Grela,-2,Male,
José Mármol,José Mármol,José,Mármol,-2,Male,
Avenida Alberto J. Paz,Alberto J. Paz,Alberto,J.,-2,Male,
Alfredo Schilla,Alfredo Schilla,Alfredo,Schilla,-2,Male,
Pedro Ulloa,Pedro Ulloa,Pedro,Ulloa,-2,Male,
Emilio Battilana,Emilio Battilana,Emilio,Battilana,-2,Male,
José Gatti,José Gatti,José,Gatti,-2,Male,
José Arijón,José Arijón,José,Arijón,-2,Male,
Pedro García,Pedro García,Pedro,García,-2,Male,
Nicolás Torelli,Nicolás Torelli,Nicolás,Torelli,-2,Male,
Venanolo Jaime,Venanolo Jaime,Venanolo,Jaime,-2,Male,
Alberto J. Paz,Alberto J. Paz,Alberto,J.,-2,Male,
Alejandro Gruning Rosas,Alejandro Gruning Rosas,Alejandro,Gruning,-2,Male,
Oscar Ensinck,Oscar Ensinck,Oscar,Ensinck,-2,Male,
Ernesto Palacio,Ernesto Palacio,Ernesto,Palacio,-2,Male,
Americo Tonda,Americo Tonda,Americo,Tonda,-2,Male,
Enrique Barba,Enrique Barba,Enrique,Barba,-2,Male,
Julio Irazusta,Julio Irazusta,Julio,Irazusta,-2,Male,
Vicente Sierra,Vicente Sierra,Vicente,Sierra,-2,Male,
Héctor Zinni,Héctor Zinni,Héctor,Zinni,-2,Male,
Alfredo Saybene,Alfredo Saybene,Alfredo,Saybene,-2,Male,
García del Cossio,García del Cossio,García,del,-2,Male,
Manuel Gálvez,Manuel Gálvez,Manuel,Gálvez,-2,Male,
Avenida Manuel Belgrano,Manuel Belgrano,Manuel,Belgrano,-2,Male,
Nicolás Avellaneda,Nicolás ellaneda,Nicolás,ellaneda,-2,Male,
Martin Fierro,Martin Fierro,Martin,Fierro,-2,Male,
Hipolito Hirigoyen,Hipolito Hirigoyen,Hipolito,Hirigoyen,-2,Male,
Pasaje Julian Carrara,Julian Carrara,Julian,Carrara,-2,Male,
Teniente Coronel Pablo Richieri,Teniente Coronel Pablo Richieri,Teniente,Coronel,-2,Male,
Pasaje Luis Galante,Luis Galante,Luis,Galante,-2,Male,
Ricardo Guiraldes,Ricardo Guiraldes,Ricardo,Guiraldes,-2,Male,
Carlos Yolly Perez,Carlos Yolly Perez,Carlos,Yolly,-2,Male,
Lisandro de la Torre,Lisandro de la Torre,Lisandro,de,-2,Male,
Jose Hernandez,Jose Hernandez,Jose,Hernandez,-2,Male,
Avenida San Sebastián,San Sebastián,San,Sebastián,-2,Male,
Luis Colombo,Luis Colombo,Luis,Colombo,-2,Male,
Benito Quinquela Martin,Benito Quinquela Martin,Benito,Quinquela,-2,Male,
Justo Jose de Urquiza,Justo Jose de Urquiza,Justo,Jose,-2,Male,
Estanislao Lopez,Estanislao Lopez,Estanislao,Lopez,-2,Male,
Leandro N. Alem,Leandro N. Alem,Leandro,N.,-2,Male,
San Luis,San Luis,San,Luis,-2,Male,
Roque Perez,Roque Perez,Roque,Perez,-2,Male,
Martin Miguel de Güemes,Martin Miguel de Güemes,Martin,Miguel,-2,Male,
Cornelio Casablanca,Cornelio blanca,Cornelio,blanca,-2,Male,
Santiago Pinasco,Santiago Pinasco,Santiago,Pinasco,-2,Male,
Emiliano Rearte,Emiliano Rearte,Emiliano,Rearte,-2,Male,
David Esquivel,David Esquivel,David,Esquivel,-2,Male,
Eloy Esquivel,Eloy Esquivel,Eloy,Esquivel,-2,Male,
Francisco Parodi,Francisco Parodi,Francisco,Parodi,-2,Male,
Estanislao López,Estanislao López,Estanislao,López,-2,Male,
Avenida San Martín,San Martín,San,Martín,-2,Male,
Intendente Gaudencio Miaca Carnevale,Intendente Gaudencio Miaca Carnevale,Intendente,Gaudencio,-2,Male,
Simon Bolivar,Simon Bolivar,Simon,Bolivar,-2,Male,
Juan de Garay,Juan de Garay,Juan,de,-2,Male,
Domingo Aron,Domingo Aron,Domingo,Aron,-2,Male,
Pasaje San Lorenzo,San Lorenzo,San,Lorenzo,-2,Male,
Avenida Guillermo Wheelwright,Guillermo Wheelwright,Guillermo,Wheelwright,-2,Male,
Avenida Carlos Pellegrini,Carlos Pellegrini,Carlos,Pellegrini,-2,Male,
Deán Gregorio Funes,Deán Gregorio Funes,Deán,Gregorio,-2,Male,
Bulevar Juan Francisco Seguí,Bulevar Juan Francisco Seguí,Bulevar,Juan,-2,Male,
Juan Canals,Juan Canals,Juan,Canals,-2,Male,
Avenida Arturo Illia,Arturo Illia,Arturo,Illia,-2,Male,
Emilio Schiffner,Emilio Schiffner,Emilio,Schiffner,-2,Male,
Julio Cortazar,Julio Cortazar,Julio,Cortazar,-2,Male,
Pasaje Poeta Fabricio Simeoni,Poeta Fabricio Simeoni,Poeta,Fabricio,-2,Male,
Doctor Mario Armas,Doctor Mario Armas,Doctor,Mario,-2,Male,
Dársena San Juan,Dársena San Juan,Dársena,San,-2,Male,
Juan Manuel de Rosas,Juan Manuel de Rosas,Juan,Manuel,-2,Male,
Raúl Dominguez,Raúl Dominguez,Raúl,Dominguez,-2,Male,
Gregorio Perdriel,Gregorio Perdriel,Gregorio,Perdriel,-2,Male,
José Gálvez,José Gálvez,José,Gálvez,-2,Male,
Cristóbal Colón,Cristóbal Colón,Cristóbal,Colón,-2,Male,
Rogelio Luis Pizzi,Rogelio Luis Pizzi,Rogelio,Luis,-2,Male,
Roberto Bazán,Roberto Bazán,Roberto,Bazán,-2,Male,
Di Pierri,Di Pierri,Di,Pierri,-2,Male,
Florencio Sánchez,Florencio Sánchez,Florencio,Sánchez,-2,Male,
Ludwig van Beethoven,Ludwig van Beethoven,Ludwig,van,-2,Male,
Doctor Francisco Riva,Doctor Francisco Riva,Doctor,Francisco,-2,Male,
Rodrigo M. Ross,Rodrigo M. Ross,Rodrigo,M.,-2,Male,
José Garibaldi,José Garibaldi,José,Garibaldi,-2,Male,
Florentino Ameghino,Florentino Ameghino,Florentino,Ameghino,-2,Male,
Coronel Dámaso Centeno,Coronel Dámaso Centeno,Coronel,Dámaso,-2,Male,
Lincoln,Lincoln,Lincoln,,-2,Male,
