calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
La Gloria,La Gloria,,0.98,Female,
María R. Adler,María R. Adler,,0.98,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Raquel_Adler
Pasaje La Victoria,Pasaje La Victoria,,0.98,Female,
Pasaje María Jesús,Pasaje María Jesús,,0.98,Female,
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Concepción Arenal,Concepción Arenal,,0.97,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Concepción Arenal,Concepción Arenal,,0.97,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Concepción Arenal,Concepción Arenal,,0.97,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Concepción Arenal,Concepción Arenal,,0.97,Female,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Ema de La Barra,Ema de La Barra,,0.96,Female,https://es.wikipedia.org/wiki/Emma_de_la_Barra
Lucero,Lucero,,0.95,Female,
Madame Curie,Madame Curie,,0.94,Female,https://es.wikipedia.org/wiki/Marie_Curie
Pasaje Santa Ana,Pasaje Santa Ana,,0.94,Female,https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Pasaje Virgen ¿de Fátima?,Pasaje Virgen ¿de Fátima?,,0.94,Female,https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima
Boulevard Rosario Vera Peñaloza,Boulevard Rosario Vera Peñaloza,,0.91,Female,https://es.wikipedia.org/wiki/Rosario_Vera_Pe%C3%B1aloza
Boulevard Rosario Vera Peñaloza,Boulevard Rosario Vera Peñaloza,,0.91,Female,https://es.wikipedia.org/wiki/Rosario_Vera_Pe%C3%B1aloza
Rosario Vera Peñaloza,Rosario Vera Peñaloza,,0.91,Female,https://es.wikipedia.org/wiki/Rosario_Vera_Pe%C3%B1aloza
Mariquita Sánchez de Thompson,Mariquita Sánchez de Thompson,,0.84,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_S%C3%A1nchez_de_Thompson
Mariquita Sánchez de Thompson,Mariquita Sánchez de Thompson,,0.84,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_S%C3%A1nchez_de_Thompson
Pasaje Santa María,Pasaje Santa María,,0.81,Female,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa
Santa María del Buen Aire,Santa María del Buen Aire,,0.81,Female,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_del_Buen_Aire
Pasaje Santa Lucía,Pasaje Santa Lucía,,0.8,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Pasaje Santa Lucía,Pasaje Santa Lucía,,0.8,Female,https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Trinidad Guevara,Trinidad Guevara,,0.8,Female,https://es.wikipedia.org/wiki/Trinidad_Guevara
La Rosita,La Rosita,,0.78,Female,
Santa Maria,Santa Maria,,0.74,Female,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa
La Santa María,La Santa María,,0.72,Female,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa
Calle La Milagrosa,La Milagrosa,,0.69,Female,
Victoria Ocampo,Victoria Ocampo,,0.67,Female,https://es.wikipedia.org/wiki/Victoria_Ocampo
La Morena,La Morena,,0.66,Female,
La Cautiva,La Cautiva,,0.65,Female,
Maure,Maure,,0.64,Female,
R. H. Alice,R. H. Alice,,0.58,Female,
Alfonsina Storni,Alfonsina Storni,,0.5,Female,https://es.wikipedia.org/wiki/Alfonsina_Storni
Alfonsina Storni,Alfonsina Storni,,0.5,Female,https://es.wikipedia.org/wiki/Alfonsina_Storni
Alfonsina Storni,Alfonsina Storni,,0.5,Female,https://es.wikipedia.org/wiki/Alfonsina_Storni
Celina L. de Minetto,Celina L. de Minetto,,0.5,Female,
Dolores,Dolores,,0.5,Female,
Gladys Marín,Gladys Marín,,0.5,Female,https://es.wikipedia.org/wiki/Gladys_Mar%C3%ADn
Hermana María Odilia Zaloznik,Hermana María Odilia Zaloznik,,0.5,Female,
Patrica Zaldarreaga,Patrica Zaldarreaga,,0.5,Female,
Pierina Dealessi,Pierina Dealessi,,0.5,Female,https://es.wikipedia.org/wiki/Pierina_Dealessi
Sor Juana Inés de la Cruz,Sor Juana Inés de la Cruz,,0.5,Female,https://es.wikipedia.org/wiki/Sor_Juana_In%C3%A9s_de_la_Cruz
Carlota C. B. de Domínico,Carlota  B. Domínico,,0.49,Female,
Gregoria Matorras de San Martín,Gregoria Matorras de San Martín,,0.49,Female,https://es.wikipedia.org/wiki/Gregoria_Matorras
Gregoria Pérez,Gregoria Pérez,,0.49,Female,
Mercedes,Mercedes,,0.49,Female,
Mercedes,Mercedes,,0.49,Female,
Remedios de Escalada de San Martin,Remedios de Escalada de San Martin,,0.49,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada
Gregoria Del Valle,Gregoria Del,,0.48,Female,
Hermana Chola Provvidente,Hermana Chola Provvidente,,0.44,Female,
Mariquita Sanchez de Thompson,Mariquita Sanchez de Thompson,,0.33,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_S%C3%A1nchez_de_Thompson
Mariquita Sanchez de Thompson,Mariquita Sanchez de Thompson,,0.33,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_S%C3%A1nchez_de_Thompson
Mariquita Sanchez de Thompson,Mariquita Sanchez de Thompson,,0.33,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_S%C3%A1nchez_de_Thompson
Guadalupe,Guadalupe,,0.28,Female,
Virgen de Itatí,Virgen de Itatí,,0.26,Female,https://es.wikipedia.org/wiki/Virgen_de_Itat%C3%AD
Virgen de Itatí,Virgen de Itatí,,0.26,Female,https://es.wikipedia.org/wiki/Virgen_de_Itat%C3%AD
Abraham J. Luppi,Abraham J. Luppi,,-1.0,Male,
Adolfo Bioy Casares,Adolfo Bioy res,,-1.0,Male,
Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,,-1.0,Male,
Adolfo Gonzáles Chaves,Adolfo Gonzáles Chaves,,-1.0,Male,
Adolfo Saldías,Adolfo Saldías,,-1.0,Male,
Agustín Álvarez,Agustín Álvarez,,-1.0,Male,
Agustín Álvarez,Agustín Álvarez,,-1.0,Male,
Agustín Bardi,Agustín Bardi,,-1.0,Male,
Agustin Mendez,Agustin Mendez,,-1.0,Male,
Albert Einstein,Albert Einstein,,-1.0,Male,
Alberti,Alberti,,-1.0,Male,
Alberti,Alberti,,-1.0,Male,
Alberto Einstein,Alberto Einstein,,-1.0,Male,
Alberto Gerchunoff,Alberto Gerchunoff,,-1.0,Male,
Alberto Larroque,Alberto Larroque,,-1.0,Male,
Alberto Lartigau,Alberto Lartigau,,-1.0,Male,
Alberto Mortz,Alberto Mortz,,-1.0,Male,
Alberto Olmedo,Alberto Olmedo,,-1.0,Male,
Alberto Williams,Alberto Williams,,-1.0,Male,
Alejandro Dumas,Alejandro Dumas,,-1.0,Male,
Alejandro F. Mohr,Alejandro F. Mohr,,-1.0,Male,
Alejandro Magariños Cervantes,Alejandro Magariños Cervantes,,-1.0,Male,
Alfredo Bufano,Alfredo Bufano,,-1.0,Male,
Alfredo Colmo,Alfredo Colmo,,-1.0,Male,
Alfredo Gramajo Gutiérrez,Alfredo Gramajo Gutiérrez,,-1.0,Male,
Alfredo Guttero,Alfredo Guttero,,-1.0,Male,
Alfredo Lorenzo Palacios,Alfredo Lorenzo Palacios,,-1.0,Male,
Alfredo Lorenzo Palacios,Alfredo Lorenzo Palacios,,-1.0,Male,
Alfredo Palacios,Alfredo Palacios,,-1.0,Male,
Alfredo Palacios,Alfredo Palacios,,-1.0,Male,
Alfredo Sturla,Alfredo Sturla,,-1.0,Male,
Almirante Atilio Sixto Barilari,Almirante Atilio Sixto Barilari,,-1.0,Male,
Álvar Núñez,Álvar Núñez,,-1.0,Male,
Álvar Núñez,Álvar Núñez,,-1.0,Male,
Álvaro Barros,Álvaro Barros,,-1.0,Male,
Ángel Monasterio,Ángel Monasterio,,-1.0,Male,
Ángel Pacheco,Ángel Pacheco,,-1.0,Male,
Aragna Goiri,Aragna Goiri,,-1.0,Male,
Ariel,Ariel,,-1.0,Male,
Aristóteles,Aristóteles,,-1.0,Male,
Artigas,Artigas,,-1.0,Male,
Arturo Beruti,Arturo Beruti,,-1.0,Male,
Arturo Jauretche,Arturo Jauretche,,-1.0,Male,
Arturo Toscanini,Arturo Toscanini,,-1.0,Male,
Athos Palma,Athos Palma,,-1.0,Male,
Avenida Adolfo Berro,Adolfo Berro,,-1.0,Male,
Avenida Agustín Debenedetti,Agustín Debenedetti,,-1.0,Male,
Avenida Agustín Debenedetti,Agustín Debenedetti,,-1.0,Male,
Avenida Agustín Pedemonte,Agustín Pedemonte,,-1.0,Male,
Avenida Alberto Larroque,Alberto Larroque,,-1.0,Male,
Avenida Alsina,Alsina,,-1.0,Male,
Avenida Ángel Gallardo,Ángel Gallardo,,-1.0,Male,
Avenida Coronel Cárdenas,Coronel Cárdenas,,-1.0,Male,
Avenida Coronel Cárdenas,Coronel Cárdenas,,-1.0,Male,
Avenida Coronel Díaz,Coronel Díaz,,-1.0,Male,
Avenida Coronel Esteban Bonorino,Coronel Esteban Bonorino,,-1.0,Male,
Avenida Coronel Niceto Vega,Coronel Niceto Vega,,-1.0,Male,
Avenida Díaz Vélez,Díaz Vélez,,-1.0,Male,
Avenida Eduardo Madero,Eduardo Madero,,-1.0,Male,
Avenida Eduardo Madero,Eduardo Madero,,-1.0,Male,
Avenida General Francisco Fernández de La Cruz,General Francisco Fernández La Cruz,,-1.0,Male,
Avenida General Francisco Fernández de La Cruz,General Francisco Fernández La Cruz,,-1.0,Male,
Avenida Germán Burmeister,Germán Burmeister,,-1.0,Male,
Avenida Guzmán,Guzmán,,-1.0,Male,
Avenida Jorge Newbery,Jorge Newbery,,-1.0,Male,
Avenida Miguel B. Sánchez,Miguel B. Sánchez,,-1.0,Male,
Avenida Pinedo,Pinedo,,-1.0,Male,
Avenida Presidente Figueroa Alcorta,Presidente Figueroa Alcorta,,-1.0,Male,
Avenida Presidente Pedro Montt,Presidente Pedro Montt,,-1.0,Male,
Avenida Presidente Quintana,Presidente Quintana,,-1.0,Male,
Avenida Presidente Sarmiento,Presidente Sarmiento,,-1.0,Male,
Avenida Presidente Teniente General Perón,Presidente Teniente General Perón,,-1.0,Male,
Avenida Presidente Teniente General Perón,Presidente Teniente General Perón,,-1.0,Male,
Avenida Sáenz,Sáenz,,-1.0,Male,
Avenida San Pedrito,San Pedrito,,-1.0,Male,
Avenida Santiago de Compostela,Santiago Compostela,,-1.0,Male,
Avenida Tomás Edison,Tomás Edison,,-1.0,Male,
Avenida Vicente López,Vicente López,,-1.0,Male,
Aviador Roger,iador Roger,,-1.0,Male,
Benito Quinquela Martin,Benito Quinquela Martin,,-1.0,Male,
Benjamin Franklin,Benjamin Franklin,,-1.0,Male,
Benjamin Franklin,Benjamin Franklin,,-1.0,Male,
Benjamín Villafañe,Benjamín fañe,,-1.0,Male,
Bernardo Houssay,Bernardo Houssay,,-1.0,Male,
Bernardo O'Higgins,Bernardo O'Higgins,,-1.0,Male,
Bismark,Bismark,,-1.0,Male,
Bouchard,Bouchard,,-1.0,Male,
