calle,calle filtrada,calle filtrada2,factor fiabilidad,gender,wikipedia
Carrer d'Isabel la Católica,Isabel la Católica,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Carrer de Federica Montseny,Federica Montseny,,0.99,Female,https://es.wikipedia.org/wiki/Federica_Montseny
Carrer de Jane Adams,Jane Adams,,0.99,Female,https://es.wikipedia.org/wiki/Jane_Addams
Carrer de Jane Godall,Jane Godall,,0.99,Female,https://es.wikipedia.org/wiki/Jane_Goodall
Carrer de Julia Romera Yáñez,Julia Romera Yáñez,,0.99,Female,https://ca.wikipedia.org/wiki/Julia_Romera_Y%C3%A1%C3%B1ez
Carrer de la Infanta Isabel,Infanta Isabel,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_de_Borb%C3%B3n_y_Borb%C3%B3n
Carrer de la Verge del Pilar,Verge Pilar,,0.99,Female,https://es.wikipedia.org/wiki/Virgen_del_Pilar
Carrer de la Verge del Pilar,Verge Pilar,,0.99,Female,https://es.wikipedia.org/wiki/Virgen_del_Pilar
carrer de Lola Anglada,Lola Anglada,,0.99,Female,https://es.wikipedia.org/wiki/Lola_Anglada
Carrer de Maria Aurèlia Campmany,Maria Aurèlia Campmany,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Aur%C3%A8lia_Capmany
Carrer de Maria Aurèlia Capmany,Maria Aurèlia Capmany,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Aur%C3%A8lia_Capmany
Carrer de Maria Aurèlia Capmany,Maria Aurèlia Capmany,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Aur%C3%A8lia_Capmany
Carrer de Maria Barrientos,Maria Barrientos,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Barrientos
Carrer de Maria de Bearn,Maria de Bearn,,0.99,Female,https://ca.wikipedia.org/wiki/Maria_de_Bearn
Carrer de Maria Montessori,Maria Montessori,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Montessori
Carrer de Maria Noguera,Maria Noguera,,0.99,Female,
Carrer de Maria Paretas,Maria Paretas,,0.99,Female,
Carrer de Maria Rosa Gelabert i Cases,Maria Rosa Gelabert i Cases,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Paz_Garc%C3%ADa-Gelabert_P%C3%A9rez
Carrer de Maria Tarrida,Maria Tarrida,,0.99,Female,
Carrer de Maria Zambrano,Maria Zambrano,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Zambrano
carrer de Marie Curie,Marie Curie,,0.99,Female,https://es.wikipedia.org/wiki/Marie_Curie
Carrer de Marie Curie,Marie Curie,,0.99,Female,https://es.wikipedia.org/wiki/Marie_Curie
Carrer de Matilde Bertran,Matilde Bertran,,0.99,Female,
Carrer de Matilde Díez,Matilde Díez,,0.99,Female,https://es.wikipedia.org/wiki/Matilde_D%C3%ADez
Carrer de Matilde Ucelay,Matilde Ucelay,,0.99,Female,https://es.wikipedia.org/wiki/Matilde_Ucelay
Carrer de Rita Bonnat,Rita Bonnat,,0.99,Female,
Carrer de Rosa Leveroni,Rosa Leveroni,,0.99,Female,https://es.wikipedia.org/wiki/Rosa_Leveroni
Carrer de Rosa Luxemburg,Rosa Luxemburg,,0.99,Female,https://es.wikipedia.org/wiki/Rosa_Luxemburgo
Carrer de Rosa Sensat,Rosa Sensat,,0.99,Female,https://es.wikipedia.org/wiki/Rosa_Sensat_i_Vila
Carrer de Rosa Sensat,Rosa Sensat,,0.99,Female,https://es.wikipedia.org/wiki/Rosa_Sensat_i_Vila
Carrer de Teodora Lamadrid,Teodora Lamadrid,,0.99,Female,https://es.wikipedia.org/wiki/Teodora_Lamadrid
Carrer Lola Anglada,Lola Anglada,,0.99,Female,https://es.wikipedia.org/wiki/Lola_Anglada
Carrer Nostra Senyora del Pilar,Nostra Senyora Pilar,,0.99,Female,https://es.wikipedia.org/wiki/Virgen_del_Pilar
Carrer Rosa de Luxemburg,Rosa Luxemburg,,0.99,Female,https://es.wikipedia.org/wiki/Rosa_Luxemburgo
Carrer Rosa Ribas Parellada,Rosa Ribas Parellada,,0.99,Female,
Jardins Frida Kahlo,Frida Kahlo,,0.99,Female,https://es.wikipedia.org/wiki/Frida_Kahlo
Passatge d'Isabel Ribó,Isabel Ribó,,0.99,Female,
Passatge de Maria Callas,Maria Callas,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Callas
Passeig d'Isabel II,Isabel II,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_II_de_Espa%C3%B1a
Plaça de Maria Aurèlia Capmany,Maria Aurèlia Capmany,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Aur%C3%A8lia_Capmany
Plaça de Maria Aurèlia Capmany,Maria Aurèlia Capmany,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Aur%C3%A8lia_Capmany
Plaça de Mary Santpere,Mary Santpere,,0.99,Female,https://es.wikipedia.org/wiki/Mary_Santpere
Plaça de Sarah Bernhardt,Sarah Bernhardt,,0.99,Female,https://es.wikipedia.org/wiki/Sarah_Bernhardt
Plaça Emma Maleras,Emma Maleras,,0.99,Female,https://es.wikipedia.org/wiki/Emma_Maleras
