calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Camino Carlos Burmester,Carlos Burmester,,-0.99,Male,
Juan Bautista,Juan Bautista,,-0.5,Male,
José Pedro Varela,José Pedro Varela,,-0.42,Male,
Fernando Otorguez,Fernando Otorguez,,-0.5,Male,
Liber Arce,Liber Arce,,-0.34,Male,
Pedro Zufiategui,Pedro Zufiategui,,-0.5,Male,
Francisco Vidiela,Francisco Vidiela,,-0.5,Male,
José Hernández,José Hernández,,-0.5,Male,
Tomas Aldabalde,Tomas Aldabalde,,-1.0,Male,
Fructuoso Rivera,Fructuoso Rivera,,-0.5,Male,
Dr. Armando Lena,Dr. Armando Lena,,-0.3,Male,
Dr. Juan Carlos Pontet,Dr. Juan Carlos Pontet,,-0.5,Male,
Santiago Berreta,Santiago Berreta,,-1.0,Male,
Obdulio Varela,Obdulio Varela,,-0.5,Male,
A. Maccio,Maccio,,-0.5,Male,
Juan Horne,Juan Horne,,-0.99,Male,
Bartolomé Hidalgo,Bartolomé Hidalgo,,-0.5,Male,
Sebastián de León,Sebastián de León,,-0.95,Male,
Emilio Dupre,Emilio Dupre,,-0.5,Male,
Gardel,Gardel,,-0.5,Male,
Tabaré,Tabaré,,-0.5,Male,
Juan P. Lopez,Juan P. Lopez,,-0.99,Male,
Manuel Tiscornia,Manuel Tiscornia,,-0.5,Male,
Tomás Berreta,Tomás Berreta,,-1.0,Male,
Garibaldi,Garibaldi,,-0.5,Male,
Juan A. Russi,Juan  Russi,,-0.99,Male,
Joaquín Suárez,Joaquín Suárez,,-1.0,Male,
Florencio Sánchez,Florencio Sánchez,,-1.0,Male,
Camino el Cuarteador,el Cuarteador,,-0.39,Male,
José Enrique Rodó,José Enrique Rodó,,-0.39,Male,
Continuación Florencio Sánchez,Continuación Florencio Sánchez,,-1.0,Male,
J. A. Ross,J.  Ross,,-0.43,Male,
Continuacion Ramón Álvarez,Continuacion Ramón Álvarez,,-1.0,Male,
Juan Zorrilla de San Martín,Juan Zorrilla de San Martín,,-0.99,Male,
Agustín Vera,Agustín Vera,,0.93,Male,
José Batlle y Ordóñez,José Batlle y Ordóñez,,-0.29,Male,
Javier de Viana,Javier de Viana,,-0.5,Male,
Humberto Bianchi Altuna,Humberto Bianchi Altuna,,-0.5,Male,
Ramón Álvarez,Ramón Álvarez,,-0.5,Male,
Pablo Moreira,Pablo Moreira,,-0.5,Male,
Enrique Erro,Enrique Erro,,-0.5,Male,
Camino Osvaldo Rodríguez,Osvaldo Rodríguez,,-0.5,Male,
Bernardo Etchevarne,Bernardo Etchevarne,,-0.5,Male,
Danton,Danton,,-1.0,Male,
Javier Barrios Amorín,Javier Barrios Amorín,,-1.0,Male,
Conrado Moller,Conrado Moller,,-0.5,Male,
Doctor Luis Alberto de Herrera,Doctor Luis Alberto de Herrera,,-0.5,Male,
Presbítero Domingo Castilla,Presbítero Domingo Castilla,,-0.5,Male,
Profesor Domingo Castilla,Profesor Domingo Castilla,,-0.5,Male,
Emilio Andreon,Emilio Andreon,,-0.5,Male,
Jardines de Viale,es Viale,,-0.45,Male,
Manuel Rose,Manuel Rose,,-0.44,Male,
Avenida General Flores,General Flores,,-0.98,Male,
Zenona de Las Heras,Zenona de Las Heras,,-0.31,Male,
Paso de los Toros,Toros,,-1.0,Male,
Carmelo,Carmelo,,-1.0,Male,
Rocha,Rocha,,-0.28,Male,
Capitan Pérez,Capitan Pérez,,-0.5,Male,
Pasaje los Jazmines,los Jazmines,,-0.5,Male,
De Las Hortencias,De Las Hortencias,,-0.46,Male,
Pasaje de las Rosas,Rosas,,-0.49,Male,
Yamandú,Yamandú,,-1.0,Male,
Saturno,Saturno,,-0.49,Male,
Urano,Urano,,-0.5,Male,
Avenida Dayman,Dayman,,-0.5,Male,
