Valle de Magdalena;Magdalena;;1.0;female;https://es.wikipedia.org/wiki/Magdalena
Magdalena Cobos;Magdalena Cobos;;1.0;female;
MAGDALENA DE LAS SALINAS;MAGDALENA DE LAS SALINAS;;1.0;female;
Calz. Magdalena Mixhuca;Magdalena Mixhuca;;1.0;female;
Magdalena Moreno;Magdalena Moreno;;1.0;female;
Manuela Cañizares;Manuela Cañizares;;1.0;female;https://es.wikipedia.org/wiki/Manuela_Ca%C3%B1izares
Manuela Medina;Manuela Medina;;1.0;female;https://es.wikipedia.org/wiki/Manuela_Medina
Manuela Medina;Manuela Medina;;1.0;female;https://es.wikipedia.org/wiki/Manuela_Medina
Manuela Sáenz;Manuela Sáenz;;1.0;female;https://es.wikipedia.org/wiki/Manuela_S%C3%A1enz
Marga López;Marga López;;0.98;female;https://es.wikipedia.org/wiki/Marga_L%C3%B3pez
Isla Margarita;Margarita;;1.0;female;
Margarita;Margarita;;1.0;female;
Margarita;Margarita;;1.0;female;
Margarita;Margarita;;1.0;female;
Margarita;Margarita;;1.0;female;
Paseo Margarita;Margarita;;1.0;female;
Margarita Maza de Juárez;Margarita Maza de Juárez;;1.0;female;https://es.wikipedia.org/wiki/Margarita_Maza
Calle Margarita Maza de Juárez;Margarita Maza Juárez;;1.0;female;https://es.wikipedia.org/wiki/Margarita_Maza
Calle Margarita Maza de Juárez;Margarita Maza Juárez;;1.0;female;https://es.wikipedia.org/wiki/Margarita_Maza
Margil;Margil;;-1.0;male;
Maria;Maria;;0.99;female;
Calle María;María;;1.0;female;
Cerrada de María;María;;1.0;female;
María Auxiliadora;María Auxiliadora;;1.0;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora
María del Mar;María del Mar;;1.0;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_del_Mar
María Dolores;María Dolores;;1.0;female;
Maria Dolores Obregon;Maria Dolores Obregon;;0.99;female;
María Elena Sandoval;María Elena Sandoval;;1.0;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Elena_Sandoval
María Esther Zuno de Echeverria;María Esther Zuno de Echeverria;;1.0;female;
María Eugenia;María Eugenia;;1.0;female;
María Félix;María Félix;;1.0;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_F%C3%A9lix
María Grever;María Grever;;1.0;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Grever
Maria Hernandez Zarco;Maria Hernandez Zarco;;0.99;female;
Maria Hernandez Zarco;Maria Hernandez Zarco;;0.99;female;
María Hernández Zarco;María Hernández Zarco;;1.0;female;
María Isabel;María Isabel;;1.0;female;
Maria José Acevedo;Maria José Acevedo;;0.99;female;
MAria Lavalle Urbina;MAria Lavalle Urbina;;0.99;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Lavalle_Urbina
Maria Lugo;Maria Lugo;;0.99;female;
Parque Maria Luisa;Maria Luisa;;1.0;female;
María Luisa;María Luisa;;0.99;female;
María Luisa;María Luisa;;0.99;female;
María Luisa Stampa Ortigoza;María Luisa Stampa Ortigoza;;1.0;female;
María Pistolas;María Pistolas;;1.0;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Arias_Bernal
María Ruiz;María Ruiz;;1.0;female;
María Teruel;María Teruel;;1.0;female;
María Tomasa Estébez;María Tomasa Estébez;;1.0;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Tomasa_Esteves_y_Salas
Mariquita Sánchez;Mariquita Sánchez;;1.0;female;https://es.wikipedia.org/wiki/Mar%C3%ADa_S%C3%A1nchez_de_Thompson
Marisol;Marisol;;0.99;female;
Cañada Martha;Martha;;0.99;female;
Martha;Martha;;0.99;female;
Martha;Martha;;0.99;female;
Matilde Márquez;Matilde Márquez;;0.99;female;
Mercedes Caraza;Mercedes Caraza;;0.98;female;
Micaela Ordóñez Viuda de Balanzario;Micaela Ordóñez Viuda de Balanzario;;0.99;female;
Mirasol Rivera;Mirasol Rivera;;1.0;female;
Monserrat;Monserrat;;1.0;female;
Monserrat;Monserrat;;1.0;female;
Natalia Serdán;Natalia Serdán;;1.0;female;https://es.wikipedia.org/wiki/Natalia_Serd%C3%A1n
Ofelia;Ofelia;;1.0;female;
Patricia;Patricia;;1.0;female;
Patricia Juárez;Patricia Juárez;;1.0;female;https://es.wikipedia.org/wiki/Patricia_Ju%C3%A1rez
Patricia Serrano;Patricia Serrano;;1.0;female;
Paula López;Paula López;;1.0;female;
Paula Nava;Paula Nava;;1.0;female;
Paula Peraldo;Paula Peraldo;;1.0;female;
Paz Montes de Oca;Paz Montes de Oca;;0.89;female;
Priv. Elena Arizmendi;Priv. Elena Arizmendi;;1.0;female;https://es.wikipedia.org/wiki/Elena_Arizmendi_Mej%C3%ADa
Priv. Eugenia;Priv. Eugenia;;1.0;female;
Priv. Luisa;Priv. Luisa;;1.0;female;
Priv. Luisa;Priv. Luisa;;1.0;female;
Prof. Aurora Reza;Prof. Aurora Reza;;0.99;female;
Rafaela López Aguado;Rafaela López Aguado;;1.0;female;https://es.wikipedia.org/wiki/Rafaela_L%C3%B3pez_Aguado_de_Ray%C3%B3n
Rosa María Sequeira;Rosa María Sequeira;;0.99;female;
Calle Rosario Aldama;Rosario Aldama;;0.9;female;
Rosario Castellanos;Rosario Castellanos;;0.9;female;https://es.wikipedia.org/wiki/Rosario_Castellanos
Rosario Castellanos;Rosario Castellanos;;0.9;female;https://es.wikipedia.org/wiki/Rosario_Castellanos
