calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Gobernador De La Vega;Gobernador De La Vega;;De la Vega;2;Female;
Montes de Oca;Montes de Oca;;Montes de Oca;2;Female;
De La Vega;De La Vega;Garcilaso;De la Vega;-2;Male;
Gobernador Dr. Fernando Piragini Niveiro;Gobernador Dr. Fernando Piragini Niveiro;Fernando;Piragini Niveyro;-2;Male;
Juan Bautista Alberdi;Juan Bautista Alberdi;Juan Bautista;Alberdi;-2;Male;
Doctor Jos√© Miguel Guatavino;Doctor Jos√© Miguel Guatavino;JosÈ Miguel;Guatavino;-2;Male;
Avenida Juan De Garay;Juan De Garay;Juan;de Garay;-2;Male;
Juan M De Rosas;Juan M De Rosas;Juan Manuel;de Rosas;-2;Male;
Hernan Cortez;Hernan Cortez;Hern·n;Cortez;-2;Male;
Cabeza De Vaca;Cabeza De Vaca;¡lvar;N˙Òez Cabeza de Vaca;-2;Male;
Pasaje Agust√≠n Gonz√°lez;Agust√≠n Gonz√°lez;AgustÌn;Gonz·lez;-2;Male;
Vera;Vera;;Vera;-2;Male;
Pl√°cido Mart√≠nez;Pl√°cido Mart√≠nez;Pl·cido;MartÌnez;-2;Male;
Carlos Pellegrini;Carlos Pellegrini;Carlos;Pellegrini;-2;Male;
San Lorenzo;San Lorenzo;Lorenzo;;-2;Male;
Juan Bautista Cabral;Juan Bautista Cabral;Juan;Bautista;-2;Male;
Av. Gdor. Juan Pujol;Gdor. Juan Pujol;Juan;Pujol;-2;Male;
Roca;Roca;Julio Argentino;Roca;-2;Male;
Moreno;Moreno;Mariano;Moreno;-2;Male;
Ra√∫l B. Castillo;Ra√∫l B. Castillo;Ra˙l B.;Castillo;-2;Male;
Jos√© R. Vidal;Jos√© R. Vidal;JosÈ R.;Vidal;-2;Male;
Pio XII;Pio XII;PÌo;;-2;Male;
Lisandro Segovia;Lisandro Segovia;Lisandro;Segovia;-2;Male;
Gobernador General Juan Velazco;Gobernador General Juan Velazco;Juan;Velazco;-2;Male;
Pasaje Pedro Bonastre;Pedro Bonastre;Pedro;Bonastre;-2;Male;
Avenida Pedro Ferr√©;Pedro Ferr√©;Pedro;FerrÈ;-2;Male;
Pasaje Santa Julia;Santa Julia;Julia;;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Julia_De_Ruschi
Romero;Romero;Romero;;-2;Male;
Beltran;Beltran;Luis;Beltr·n;-2;Male;
Gobernador Robert;Gobernador Robert;;Robert;-2;Male;
Gobernador Mart√≠n Goitia;Gobernador Mart√≠n Goitia;MartÌn;GoitÌa;-2;Male;
Santo Domingo;Santo Domingo;Domingo;;-2;Male;
Merceditas De San Martin;Merceditas De San Martin;Mercedes;de San MartÌn;2;Female;https://es.wikipedia.org/wiki/Mercedes_Tomasa_San_Mart%C3%ADn_y_Escalada
Garcia de Cossio;Garcia de Cossio;;GarcÌa de Cossio;-2;Male;
Roque P√©rez;Roque P√©rez;Roque;PÈrez;-2;Male;
Jose M√°rmol;Jose M√°rmol;Jose;M·rmol;-2;Male;
Vicente Lopez Y Planes;Vicente Lopez Y Planes;Vicente;LÛpez;-2;Male;
Jos√© Rol√≥n;Jos√© Rol√≥n;JosÈ;RolÛn;-2;Male;
Juncal;Juncal;;Juncal;2;Female;https://es.wikipedia.org/wiki/Juncal_Rivero
Leandro Alem;Leandro Alem;Leandro N.;Alem;-2;Male;
Agust√≠n Justo;Agust√≠n Justo;AgustÌn;Justo;-2;Male;
Felipe Cabral;Felipe Cabral;Felipe;Cabral;-2;Male;
Pasaje San Nicolas;San Nicolas;Nicol·s;;-2;Male;
Jose Rolon;Jose Rolon;Jose;RolÛn;-2;Male;
Amado Bondplan;Amado Bondplan;Amado;Bonpland;-2;Male;
Angel Navea;Angel Navea;¡ngel;Navea;-2;Male;
Felix de Azara;Felix de Azara;FÈlix;de Azara;-2;Male;
Zacar√≠as S√°nchez;Zacar√≠as S√°nchez;ZacarÌas;S·nchez;-2;Male;
Esteban Bajac;Esteban Bajac;Esteban;Bajac;-2;Male;
Padre Jose Luis Schmidt;Padre Jose Luis Schmidt;JosÈ Luis;Schmidt;-2;Male;
Rafael Obligado;Rafael Obligado;Rafael;Obligado;-2;Male;
Marcos Sastre;Marcos Sastre;Marcos;Sastre;-2;Male;
