calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Capitán Doctor Patricio Maciel,Capitán Doctor Patricio Maciel,,-1.0,Male,
Capitán Emeterio Miranda,Capitán Emeterio Miranda,,-1.0,Male,
Capitán Emilio Nudelmann,Capitán Emilio Nudelmann,,-1.0,Male,
Capitan Leguizamon,Capitan Leguizamon,,-1.0,Male,
Capitán Patricio Oviedo,Capitán Patricio Oviedo,,-1.0,Male,
Capitán Pedro Favio Martinez,Capitán Pedro Favio Martinez,,-1.0,Male,
Capitán Pedro Martinez,Capitán Pedro Martinez,,-1.0,Male,
Capitán Rogelio Fiore Corrales,Capitán Rogelio Fiore Corrales,,-1.0,Male,
Cardenal Jorge Mario Bergoglio,Cardenal Jorge Mario Bergoglio,,-1.0,Male,
Cardenal Roig,Cardenal Roig,,-1.0,Male,
Carlos Jiménez,Carlos Jiménez,,-1.0,Male,
Cnel. Panchito  Lopez,Cnel. Panchito  Lopez,,-1.0,Male,
Cnel. Panchito Lopez,Cnel. Panchito Lopez,,-1.0,Male,
Cnel. Panchito López,Cnel. Panchito López,,-1.0,Male,
Comandante Benitez,Comandante Benitez,,-1.0,Male,
Comandante Cabañas,Comandante Cabañas,,-1.0,Male,
Concejal Verisimo Vargas,Concejal Verisimo Vargas,,-1.0,Male,
Coronel Abdón Palacios,Coronel Abdón Palacios,,-1.0,Male,
Coronel Ángel Moreno,Coronel Ángel Moreno,,-1.0,Male,
Coronel Benitez,Coronel Benitez,,-1.0,Male,
Coronel Bogado,Coronel Bogado,,-1.0,Male,
Coronel Bogado,Coronel Bogado,,-1.0,Male,
Coronel Dionisio Lirio,Coronel Dionisio Lirio,,-1.0,Male,
Coronel Espíritu Aranda,Coronel Espíritu Aranda,,-1.0,Male,
Coronel Eulalio Facetti,Coronel Eulalio Facetti,,-1.0,Male,
Coronel Felipe Toledo,Coronel Felipe Toledo,,-1.0,Male,
Coronel Felipe Toledo,Coronel Felipe Toledo,,-1.0,Male,
Coronel Francisco Martínez,Coronel Francisco Martínez,,-1.0,Male,
Coronel Igor Orangereieff,Coronel Igor Orangereieff,,-1.0,Male,
Coronel Jorge Butleroff,Coronel Jorge Butleroff,,-1.0,Male,
Coronel Manuel José Montiel,Coronel Manuel José Montiel,,-1.0,Male,
Coronel Martínez,Coronel Martínez,,-1.0,Male,
Coronel Melgarejo,Coronel Melgarejo,,-1.0,Male,
Coronel Morales,Coronel Morales,,-1.0,Male,
Coronel Oviedo,Coronel Oviedo,,-1.0,Male,
Coronel Panchito  Lopez,Coronel Panchito  Lopez,,-1.0,Male,
Coronel Panchito Lopez,Coronel Panchito Lopez,,-1.0,Male,
Coronel Panchito López,Coronel Panchito López,,-1.0,Male,
Coronel Rafael de la Cruz Franco,Coronel Rafael de la Cruz Franco,,-1.0,Male,
Coronel Rafael Franco,Coronel Rafael Franco,,-1.0,Male,
Coronel Rafael Franco,Coronel Rafael Franco,,-1.0,Male,
Coronel Ramón Díaz,Coronel Ramón Díaz,,-1.0,Male,
Coronel Romero,Coronel Romero,,-1.0,Male,
Cristobal Colón,Cristobal Colón,,-1.0,Male,
Diego de Silva y Velázquez,Diego de Silva y Velázquez,,-1.0,Male,
Doctor Alejandro Davalos,Doctor Alejandro Davalos,,-1.0,Male,
Doctor Andrés Gubetich,Doctor Andrés Gubetich,,-1.0,Male,
Doctor Antonio Bestard,Doctor Antonio Bestard,,-1.0,Male,
Doctor Arturo Weiss,Doctor Arturo Weiss,,-1.0,Male,
Doctor Cesar Garay,Doctor Cesar Garay,,-1.0,Male,
Doctor Claudio Prieto,Doctor Claudio Prieto,,-1.0,Male,
Doctor Dionisio González Torres,Doctor Dionisio González Torres,,-1.0,Male,
Doctor Eusebio Lillo Robles,Doctor Eusebio Lillo Robles,,-1.0,Male,
Doctor Eusebio Lillo Robles,Doctor Eusebio Lillo Robles,,-1.0,Male,
Doctor Fernando Abente Haedo,Doctor Fernando Abente Haedo,,-1.0,Male,
Doctor Gustavo Gonzales,Doctor Gustavo Gonzales,,-1.0,Male,
Doctor Justo Prieto,Doctor Justo Prieto,,-1.0,Male,
Doctor Leandro Prieto,Doctor Leandro Prieto,,-1.0,Male,
Doctor Miguel Torres,Doctor Miguel Torres,,-1.0,Male,
Domingo Martínez de Irala,Domingo Martínez de Irala,,-1.0,Male,
Domingo Matheu,Domingo Matheu,,-1.0,Male,
Domingo Portillo,Domingo Portillo,,-1.0,Male,
Domingo Portillo,Domingo Portillo,,-1.0,Male,
Domingo Savio,Domingo Savio,,-1.0,Male,
Eduardo Victor Haedo,Eduardo Victor Haedo,,-1.0,Male,
Elgio Ayala,Elgio Ayala,,-1.0,Male,
Emeterio Miranda,Emeterio Miranda,,-1.0,Male,
Eugenio A. Garay,Eugenio  Garay,,-1.0,Male,
Eugenio A. Garay,Eugenio  Garay,,-1.0,Male,
Felioe Gonzalez,Felioe Gonzalez,,-1.0,Male,
Félix Bogado,Félix Bogado,,-1.0,Male,
Fernando de Magallanes,Fernando de Magallanes,,-1.0,Male,
Fernando de Mompox y Zayas,Fernando de Mompox y Zayas,,-1.0,Male,
Fernando Leri,Fernando Leri,,-1.0,Male,
Florencio VIllamayor,Florencio VIllamayor,,-1.0,Male,
Fulgencio Yegros (Facunda Speratti),Fulgencio Yegros (Facunda Speratti),,-1.0,Male,
General Jorge Washington,General Jorge Washington,,-1.0,Male,
General Luis Santiviago,General Luis Santiviago,,-1.0,Male,
General Manuel Britez Borges,General Manuel Britez Borges,,-1.0,Male,
General Manuel Brítez Borges,General Manuel Brítez Borges,,-1.0,Male,
George Washington,George Washington,,-1.0,Male,
Ignacio A. Pane,Ignacio  Pane,,-1.0,Male,
indio Francisco,indio Francisco,,-1.0,Male,
Indio Francisco,Indio Francisco,,-1.0,Male,
ingeniero Albino Merles,ingeniero Albino Merles,,-1.0,Male,
Isaac Kostianovsky,Isaac Kostianovsky,,-1.0,Male,
Isaac Kostianovsky,Isaac Kostianovsky,,-1.0,Male,
Javier Bogarín,Javier Bogarín,,-1.0,Male,
Joan De Salazar,Joan De Salazar,,-1.0,Male,
