calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Calle Señor de Burgos,Señor Burgos,,-0.5,Male,
Calle Melchor León de la Barra,Melchor León Barra,,-0.5,Male,
Calle Casimiro Valenzuela,Casimiro Valenzuela,,-0.5,Male,
Calle Lucio Perez,Lucio Perez,,-0.5,Male,
Calle Antonio Gallardo,Antonio Gallardo,,-0.5,Male,
Calle Fermín Eyzaguirre,Fermín Eyzaguirre,,-1.0,Male,
Calle Adolfo Ballivián,Adolfo Ballivián,,-1.0,Male,
Calle Raúl Salmón,Raúl Salmón,,-0.5,Male,
Calle Walter Guevara Arze,Walter Guevara Arze,,-0.99,Male,
Avenida Federico Escobar,Federico Escobar,,-0.5,Male,
Calle Tomas Vera Carrasco,Tomas Vera Carrasco,,-0.79,Male,
Calle Serapio Reyes Ortiz,Serapio Reyes Ortiz,,-0.39,Male,
Calle Matias Cotrina,Matias Cotrina,,-0.5,Male,
Calle Martín Fierro,Martín Fierro,,-0.5,Male,
Calle Tierra Morena,Tierra Morena,,0.99,Male,
Calle Simón I. Patiño,Simón I. Patiño,,-0.44,Male,
Calle Martín Cárdenas,Martín Cárdenas,,-0.5,Male,
Calle José Luis Tejada Sorzano,José Luis Tejada Sorzano,,-0.43,Male,
Calle Rafael Peña,Rafael Peña,,-0.5,Male,
Calle Fabian Vaca Chavez,Fabian Vaca Chavez,,-0.5,Male,
Calle Cnl. Juan L. Muñoz,Cnl. Juan L. Muñoz,,-0.99,Male,
Calle Carmelo Lopez Cuellar,Carmelo Lopez Cuellar,,-0.5,Male,
Calle Macario Pinilla,Macario Pinilla,,-0.5,Male,
Calle Elioda Valdivia Miranda,Elioda Valdivia Miranda,,1.0,Female,
Calle Matías Cotrina,Matías Cotrina,,-0.5,Male,
Calle San Francisco de Sales,San Francisco Sales,,-0.47,Male,
Calle Ezequiel,Ezequiel,,-1.0,Male,
Calle Santa Bárbara,Santa Bárbara,,1.0,Female,
Calle Santa Inés,Santa Inés,,1.0,Female,
Calle San Felipe,San Felipe,,-0.69,Male,
Calle Mártires Salesianos,Mártires Salesianos,,-0.5,Male,
Calle San Francisco Nervi,San Francisco Nervi,,-0.47,Male,
Calle Santiago El Menor,Santiago El Menor,,-1.0,Male,
Calle Bartolomé Garnica,Bartolomé Garnica,,-0.5,Male,
Calle San Lucas,San Lucas,,-0.5,Male,
Calle San Mateo,San Mateo,,-0.5,Male,
Calle Santiago El Mayor,Santiago El Mayor,,-1.0,Male,
