calle;calleClean;name;surname;fiabilidad;gender;wikipedia;Revisado;;;;;;;;;;;;;;;;;;
Plaça de l'Assumpció;Assumpció;Assumpció;;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu del Mont;Mare Déu Mont;Mare;Déu;2;Female;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_del_Mont;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu de Fàtima;Mare Déu de Fàtima;Mare;Déu;2;Female;https://es.wikipedia.org/wiki/Virgen_de_F%C3%A1tima;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu de Rocacorba;Mare Déu de Rocacorba;Mare;Déu;2;Female;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_de_Rocacorba;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu del Collell;Mare Déu Collell;Mare;Déu;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu de Núria;Mare Déu de Núria;Mare;Déu;2;Female;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_de_N%C3%BAria;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Pau Vila;Pau Vila;Pau;Vila;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Julià;Sant Julià;Sant;Julià;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Margarida Casas i Tarres;Margarida Casas i Tarres;Margarida;Casas;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Joan Fuster i Ortells;Joan Fuster i Ortells;Joan;Fuster;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Juli Garreta;Juli Garreta;Juli;Garreta;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça Emilia Xargai;Emilia Xargai;Emilia;Xargai;2;Female;https://ca.wikipedia.org/wiki/Em%C3%ADlia_Xargay_i_Pag%C3%A8s;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Joan Salvat Papasseit;Joan Salvat Papasseit;Joan;Salvat;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Sant Joan de les Fonts;Sant Joan Fonts;Sant;Joan;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Joan Farrer Torras i Hostafrench;Joan Farrer Torras i Hostafrench;Joan;Farrer;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Maria Auxiliadora;Maria Auxiliadora;Maria;Auxiliadora;2;Female;https://es.wikipedia.org/wiki/Auxiliadora_Toledano;VERDADERO;;;;;;;;;;;;;;;;;;
Passeig de Sant Joan Bosco;Sant Joan Bosco;Sant;Joan;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Carme Gubert;Carme Gubert;Carme;Gubert;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Damià Estela i Molinet;Damià Estela i Molinet;Damià;Estela;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Josep Tharrats i Vidal;Joan Josep Tharrats i Vidal;Joan;Josep;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Caterina Albert;Caterina Albert;Caterina;Albert;2;Female;https://es.wikipedia.org/wiki/Caterina_Albert;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Santa Clara;Santa Clara;Santa;Clara;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Àngela Bivern i Puig;Àngela Bivern i Puig;Àngela;Bivern;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Pau;Sant Pau;Sant;Pau;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Placeta de Maria Laffitte Masjoan;Maria Laffitte Masjoan;Maria;Laffitte;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Laffitte;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Santa Llúcia;Santa Llúcia;Santa;Llúcia;2;Female;https://ca.wikipedia.org/wiki/Ll%C3%BAcia_de_Siracusa;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Bonaventura Carreras i Peralta;Bonaventura Carreras i Peralta;Bonaventura;Carreras;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
