Calle Puerto de Rótterdam,Calle  Rótterdam,Calle,,0,,,verdadero,,,
Calle Puerto de Hamburgo,Calle  Hamburgo,Calle,,0,,,verdadero,,,
Calle Puerto de Constantinopla,Calle  Constantinopla,Calle,,0,,,verdadero,,,
Calle Puerto de San Petersburgo,Calle  San Petersburgo,Calle,,0,,,verdadero,,,
Calle Puerto de Ampurias,Calle  Ampurias,Calle,,0,,,verdadero,,,
Calle Puerto de Jofre,Calle  Jofre,Calle,,-2,,,verdadero,,,
Calle Puerto de Haifa,Calle  Haifa,Calle,,0,,,verdadero,,,
Calle Puerto de Riga,Calle  Riga,Calle,,0,,,verdadero,,,
Calle Puerto de Liverpool,Calle  Liverpool,Calle,,0,,,verdadero,,,
Calle Puerto de Corinto,Calle  Corinto,Calle,,0,,,verdadero,,,
Calle Puerto de Orán,Calle  Orán,Calle,,0,,,verdadero,,,
Calle Puerto de Marsella,Calle  Marsella,Calle,,0,,,verdadero,,,
Calle Puerto de Bergen,Calle  Bergen,Calle,,0,,,verdadero,,,
Calle Puerto de Tiro,Calle  Tiro,Calle,,0,,,verdadero,,,
Calle Puerto de Nápoles,Calle  Nápoles,Calle,,0,,,verdadero,,,
Calle Puerto de Venecia,Calle  Venecia,Calle,,2,,,verdadero,,,
Calle Puerto de Sidón,Calle  Sidón,Calle,,0,,,verdadero,,,
Glorieta Puerto de Tánger,Glorieta  Tánger,Glorieta,,0,,,verdadero,,,
Calle Puerto de Calais,Calle  Calais,Calle,,0,,,verdadero,,,
Calle Puerto de Siracusa,Calle  Siracusa,Calle,,0,,,verdadero,,,
Pasaje de la Corriente,Corriente,Corriente,,0,,,verdadero,,,
Calle Dolores Barberá París,Dolores Barberá París,Dolores,Barberá,2,Female,,verdadero,,,
Calle Concepción Ruiz Burón,Concepción Ruiz Burón,Concepción,Ruiz,2,Female,,verdadero,,,
Calle Ángela Carraffa de Nava,Ángela Carraffa Nava,Ángela,Carraffa,2,Female,https://es.wikipedia.org/wiki/%C3%81ngela_Carraffa_de_Nava,verdadero,,,
Glorieta Leonor de Acevedo,Glorieta Leonor de Acevedo,Glorieta,Leonor,2,Female,,verdadero,,,
Calle Centeno,Centeno,Centeno,,0,,,verdadero,,,
Calle de los Campesinos,Campesinos,Campesinos,,0,,,verdadero,,,
Parque de Valhondo,Valhondo,Valhondo,,0,,,verdadero,,,
Calle Aceña del Lazarillo,Aceña Lazarillo,Aceña,Lazarillo,0,,,verdadero,,,
Calle del Molino,Molino,Molino,,0,,,verdadero,,,
Calle del Río Tormes,Calle  Tormes,Calle,,0,,,verdadero,,,
Calle Ignacio Zuloaga,Ignacio Zuloaga,Ignacio,Zuloaga,-2,Male,,verdadero,,,
Plaza Ramiro II,Ramiro II,Ramiro,II,-2,Male,,verdadero,,,
Calle de Botijeros,Botijeros,Botijeros,,0,,,verdadero,,,
Calle Fuente de la Salud,Fuente Salud,Fuente,Salud,2,,,verdadero,,,
Calle de los Abastos,Abastos,Abastos,,0,,,verdadero,,,
Calle de Coria,Coria,Coria,,0,,,verdadero,,,
"Calle Manuel Álvarez ""El Griego""","Manuel Álvarez ""El Griego""",Manuel,Álvarez,-2,Male,,verdadero,,,
